INDEX;geometry;traffic;energysum;conversionfactor
0;POINT (4543684.587603065 3271588.52104982);2883143,0;55813;0,009302056202875145
1;POINT (4543414.058608815 3271760.53976362);2820450,0;54599;0,009099786038153226
2;POINT (4543414.937620163 3271760.728416919);2820450,0;54599;0,009099786038153226
3;POINT (4543525.025349356 3270855.047189266);2465243,0;47723;0,007953760510576316
4;POINT (4543525.02848725 3270855.052905025);2465243,0;47723;0,007953760510576316
5;POINT (4548863.890740423 3268513.441345418);2149051,0;41602;0,006933611404236639
6;POINT (4547788.846483367 3267957.501014208);2111870,0;40882;0,006813652126573651
7;POINT (4544202.230812766 3270209.582105505);2111699,0;40879;0,0068131004190757245
8;POINT (4544201.621796615 3270206.703022921);2111699,0;40879;0,0068131004190757245
9;POINT (4544012.007560263 3270037.933417962);1948388,0;37718;0,006286200400398974
10;POINT (4544007.927445496 3270039.271975131);1939298,0;37542;0,006256872791298719
11;POINT (4547938.801383731 3268176.67991596);1922129,0;37209;0,0062014794226912095
12;POINT (4547938.794580258 3268176.681578546);1922129,0;37209;0,0062014794226912095
13;POINT (4545678.098200436 3269900.640874295);1915090,0;37073;0,006178769077206425
14;POINT (4545527.566888883 3269494.874083481);1849148,0;35796;0,005966016470023918
15;POINT (4545527.690895673 3269494.842767666);1849148,0;35796;0,005966016470023918
16;POINT (4550051.307262027 3267635.105089371);1787605,0;34605;0,005767456618884539
17;POINT (4550047.980721293 3267633.605889155);1787605,0;34605;0,005767456618884539
18;POINT (4549989.549430135 3267604.892665348);1759075,0;34053;0,0056754085784411655
19;POINT (4546501.417173282 3269030.959775432);1593254,0;30843;0,005140410397075566
20;POINT (4546335.42787364 3270714.576054239);1442430,0;27923;0,00465379793118593
21;POINT (4550912.226183291 3267663.924932616);1396062,0;27025;0,0045041980875379
22;POINT (4545087.352619058 3271581.437011865);1364211,0;26409;0,004401435306740077
23;POINT (4545087.903829448 3271581.620830087);1364211,0;26409;0,004401435306740077
24;POINT (4545027.315047175 3272492.552389121);1358946,0;26307;0,0043844485232513155
25;POINT (4545027.199011904 3272492.81815247);1358946,0;26307;0,0043844485232513155
26;POINT (4550422.873702391 3267026.090486133);1351837,0;26169;0,0043615123325919415
27;POINT (4550422.87613509 3267026.096513327);1351837,0;26169;0,0043615123325919415
