INDEX;landuse;geometry;center_geo;energysum;conversionfactor
0;retail;POLYGON ((4535668.128744085 3261334.210018065, 4535693.073540922 3261239.626786381, 4535728.05135522 3261248.073867559, 4535736.085620408 3261211.69575562, 4535772.731580082 3261220.304681054, 4535765.37912056 3261248.380008848, 4535784.852509344 3261253.70364396, 4535778.818306812 3261278.717138904, 4535821.36716537 3261287.950378173, 4535823.400723347 3261277.85719402, 4535940.737323365 3261301.669048284, 4535895.795961116 3261452.606101739, 4535843.547734152 3261438.027160679, 4535858.811609367 3261384.218009984, 4535818.028685793 3261374.949704239, 4535804.658205025 3261380.673984339, 4535764.527613803 3261371.902314083, 4535761.451365325 3261388.734195451, 4535724.87507577 3261379.493363367, 4535732.893633742 3261350.5000517, 4535668.128744085 3261334.210018065));POINT (4535806.090713908 3261328.452555732);491,03698826810535;0,0004910275359880376
1;commercial;POLYGON ((4536022.937002906 3261401.776858961, 4536027.759753273 3261397.675523492, 4536076.005625981 3261408.1723973, 4536080.11449132 3261433.983131377, 4536087.421478972 3261445.028250064, 4536072.443536472 3261456.374212823, 4536038.627315836 3261472.671431336, 4536029.454815246 3261445.716016232, 4536023.461270185 3261423.922748621, 4536022.542837715 3261410.805018259, 4536022.937002906 3261401.776858961));POINT (4536051.494055573 3261432.31661214);51,54961140063201;5,154861908971453e-05
2;industrial;POLYGON ((4545399.749278906 3279331.334465032, 4545409.429264179 3279329.614158887, 4545423.743754074 3279327.002089653, 4545426.723842761 3279326.380295875, 4545427.564353426 3279331.287179059, 4545429.803899575 3279341.794851843, 4545431.618089426 3279342.924765672, 4545435.516736103 3279362.242529567, 4545404.782408577 3279358.625081757, 4545401.862100667 3279343.128695479, 4545399.749278906 3279331.334465032));POINT (4545417.430410564 3279344.92638385);14,81127869685182;1,4810993585225304e-05
3;commercial;POLYGON ((4555779.517845095 3277801.016133138, 4555877.388772179 3277739.407191846, 4555889.84365689 3277744.558084545, 4555888.171607376 3277904.11220509, 4555822.475925165 3277901.348322593, 4555825.049180579 3277810.227818412, 4555821.671179837 3277802.802134154, 4555779.517845095 3277801.016133138));POINT (4555854.677663001 3277825.450205967);167,77012546655476;0,00016776689595380764
4;commercial;POLYGON ((4547604.886583288 3269238.760364949, 4547610.18439878 3269143.63651835, 4547610.848421071 3269127.467974491, 4547611.549927399 3269126.263521628, 4547613.659328382 3269124.756037694, 4547615.918455004 3269124.425232687, 4547695.772637591 3269121.930234605, 4547697.607295645 3269122.694078011, 4547698.362190735 3269123.575457707, 4547699.06055055 3269125.53492013, 4547700.707843817 3269177.082056101, 4547755.241690193 3269174.840373177, 4547774.257844691 3269174.298895133, 4547774.368083466 3269182.960535804, 4547774.841057877 3269196.875120553, 4547775.555576369 3269206.73432611, 4547773.133797229 3269206.611944655, 4547763.28276 3269206.727658102, 4547755.416970939 3269206.700610718, 4547755.454510349 3269232.115011357, 4547755.35886763 3269239.786784462, 4547722.912042473 3269240.224009945, 4547698.766703418 3269241.265452281, 4547611.610570502 3269246.58917637, 4547609.159411763 3269245.629950263, 4547607.083907471 3269243.896956394, 4547605.607059493 3269241.567545106, 4547604.886583288 3269238.760364949));POINT (4547675.536554857 3269190.18853956);246,8497003548246;0,00024684494858956424
5;retail;POLYGON ((4549030.376059175 3282456.627960722, 4549087.743518266 3282380.003909245, 4549157.171645802 3282439.24096326, 4549120.611313005 3282485.108988029, 4549133.177384476 3282528.608210784, 4549086.633029805 3282541.358159115, 4549061.932550921 3282533.272397669, 4549057.390768162 3282531.780675378, 4549056.042210415 3282527.540155455, 4549050.574006866 3282528.757440979, 4549030.376059175 3282456.627960722));POINT (4549089.48985577 3282466.090665472);197,63858678203158;0,00019763478231247207
6;industrial;POLYGON ((4548961.133605698 3282540.880337181, 4549030.376059175 3282456.627960722, 4549050.574006866 3282528.757440979, 4549056.042210415 3282527.540155455, 4549057.390768162 3282531.780675378, 4549061.932550921 3282533.272397669, 4549086.633029805 3282541.358159115, 4549133.177384476 3282528.608210784, 4549120.611313005 3282485.108988029, 4549157.171645802 3282439.24096326, 4549087.743518266 3282380.003909245, 4549132.491444116 3282321.145416056, 4549145.53160877 3282320.145493649, 4549253.083259097 3282403.578934523, 4549271.734431272 3282424.765929344, 4549284.671080337 3282445.465113266, 4549296.420749071 3282474.454218925, 4549300.128761789 3282502.981194144, 4549298.065335181 3282534.71658328, 4549291.696830168 3282560.759544093, 4549271.422600857 3282595.616597556, 4549259.998267514 3282610.985560347, 4549247.642459594 3282624.372735872, 4549236.449832112 3282633.903237217, 4549230.149513192 3282638.424161466, 4549223.915752142 3282642.535946501, 4549216.943930516 3282646.62465511, 4549209.899132605 3282650.097210091, 4549202.684607252 3282653.283368693, 4549194.812673763 3282656.316499263, 4549184.999767216 3282659.092526057, 4549175.293466682 3282661.327584276, 4549164.367473785 3282662.670507269, 4549156.426899089 3282663.249400363, 4549148.99217202 3282663.450664845, 4549141.28825079 3282663.171521627, 4549135.977024728 3282662.769334441, 4549125.963436301 3282661.413846108, 4549113.368384326 3282658.557188164, 4549110.448858835 3282648.450292602, 4549108.689882781 3282642.541799854, 4549095.499796599 3282598.467777278, 4549077.405708946 3282603.890689681, 4549072.550265832 3282605.348030831, 4549075.840407826 3282617.39953858, 4549080.200379823 3282644.76437427, 4549070.225706972 3282638.352601448, 4549018.127518209 3282598.146883918, 4548962.563775934 3282555.018173934, 4548961.133605698 3282540.880337181));POINT (4549159.839401743 3282516.210042369);972,5851812167073;0,0009725664593123655
7;retail;POLYGON ((4547176.058154245 3262778.599219996, 4547187.272465118 3262778.131817419, 4547192.370845993 3262780.080737277, 4547196.347243966 3262783.036714597, 4547263.159365282 3262864.313549074, 4547267.950064507 3262869.991799029, 4547280.609296865 3262882.22446854, 4547290.969968505 3262890.252139316, 4547301.43669261 3262896.268192846, 4547320.793368766 3262904.685402441, 4547323.421862382 3262905.117663414, 4547325.867196447 3262904.795104185, 4547328.043757061 3262903.802932294, 4547330.536798456 3262903.627390315, 4547396.995997903 3262934.165720999, 4547466.984434737 3262965.813614492, 4547464.945260766 3262969.886900044, 4547442.589048821 3263018.105615479, 4547481.913724054 3263066.754228159, 4547465.589640548 3263080.043984939, 4547447.310620665 3263094.246930705, 4547290.54043296 3262911.89030077, 4547289.578742984 3262910.743341872, 4547288.618736199 3262909.707868761, 4547178.432862227 3262781.593324502, 4547176.058154245 3262778.599219996));POINT (4547377.359199821 3262967.863958154);261,8665019710328;0,00026186146113790586
8;retail;POLYGON ((4536586.978201168 3272221.630875293, 4536631.742785062 3272178.047747406, 4536622.453155702 3272166.646777534, 4536662.487979244 3272131.301142348, 4536709.478306611 3272179.975430877, 4536710.090826402 3272184.435848614, 4536706.321081284 3272187.969439555, 4536586.978201168 3272221.630875293));POINT (4536655.463588103 3272177.832272354);71,22415062843037;7,122277958992326e-05
9;retail;POLYGON ((4546329.154982695 3277920.074867883, 4546348.544956791 3277912.282838716, 4546356.600744812 3277909.052752551, 4546358.621810898 3277916.320006965, 4546362.813058298 3277930.415699611, 4546371.877580104 3277968.865749379, 4546375.675371545 3277984.7260229, 4546344.070450401 3277995.724896282, 4546342.141542701 3277982.467997405, 4546329.154982695 3277920.074867883));POINT (4546351.908369374 3277952.914545614);39,16067069893744;3,915991687053768e-05
